zipcode,fy2025_yoy_growth,fy2025_exposure,fy2024_yoy_growth,fy2024_exposure,fy2023_yoy_growth,fy2023_exposure,fy2022_yoy_growth,fy2022_exposure,fy2021_exposure
76132,-100%,-,0%,"215,000",0%,-,0%,-,-
90001,42%,"928,729,110",14%,"653,033,760",8%,"575,216,232",6%,"532,891,886","501,579,668"
90002,49%,"732,264,694",19%,"492,229,652",6%,"414,840,161",7%,"391,005,676","366,080,626"
90003,46%,"1,056,105,082",27%,"724,289,490",11%,"572,105,848",7%,"517,188,602","483,915,104"
90004,40%,"442,461,127",32%,"316,681,285",25%,"239,818,642",1%,"191,648,836","189,329,783"
90005,65%,"149,980,133",53%,"91,126,506",10%,"59,526,546",-3%,"54,169,330","55,853,971"
90006,49%,"468,562,551",24%,"314,913,084",8%,"254,161,587",5%,"235,567,228","224,775,791"
90007,47%,"351,155,410",20%,"239,451,182",0%,"200,043,169",8%,"199,358,232","184,919,724"
90008,71%,"261,472,581",25%,"152,672,601",5%,"122,452,540",6%,"116,575,448","110,427,056"
90011,40%,"1,495,498,192",17%,"1,068,164,229",9%,"912,365,948",2%,"834,345,596","814,005,320"
90012,25%,"58,948,592",46%,"47,156,830",26%,"32,409,203",-7%,"25,670,000","27,738,079"
90013,-48%,"2,629,948",120%,"5,012,334",33%,"2,281,620",-43%,"1,714,013","3,004,687"
90014,14%,"1,879,315",0%,"1,654,825",0%,-,0%,-,-
90015,57%,"66,089,893",-13%,"41,977,716",22%,"48,356,703",41%,"39,756,325","28,188,016"
90016,53%,"457,688,581",13%,"298,839,382",12%,"263,840,092",0%,"236,411,380","236,811,948"
90017,7%,"13,606,000",86%,"12,712,460",-4%,"6,849,215",30%,"7,131,581","5,502,178"
90018,48%,"742,247,692",20%,"501,373,695",5%,"419,510,051",2%,"398,532,989","390,405,006"
90019,59%,"808,348,306",30%,"508,119,287",11%,"390,487,945",0%,"353,309,012","353,475,614"
90020,62%,"70,516,524",61%,"43,624,958",7%,"27,020,221",36%,"25,233,833","18,504,746"
90021,-12%,"6,101,518",25%,"6,907,948",33%,"5,533,585",14%,"4,169,954","3,658,180"
90022,52%,"682,594,726",20%,"448,128,253",7%,"372,512,634",2%,"347,293,084","342,080,242"
90023,36%,"541,357,088",16%,"399,073,946",6%,"345,055,015",4%,"325,600,729","312,118,515"
90024,94%,"195,075,461",127%,"100,330,479",64%,"44,192,842",32%,"26,971,407","20,452,763"
90025,66%,"59,807,801",62%,"36,129,415",-5%,"22,264,514",8%,"23,389,032","21,707,725"
90026,58%,"624,550,606",20%,"395,630,004",10%,"330,302,368",6%,"299,533,627","283,745,834"
90027,66%,"686,712,053",33%,"414,320,520",37%,"311,887,423",19%,"227,532,892","190,514,644"
90028,142%,"56,555,118",23%,"23,374,787",-2%,"19,042,440",-6%,"19,396,769","20,628,653"
90029,47%,"216,162,332",31%,"146,824,120",13%,"112,201,534",7%,"99,631,368","93,404,069"
90031,49%,"496,795,549",18%,"333,122,634",20%,"283,462,962",0%,"236,368,301","236,920,382"
90032,62%,"441,593,590",20%,"272,328,999",11%,"226,960,934",5%,"204,182,029","194,239,827"
90033,39%,"386,321,793",8%,"278,895,776",8%,"257,684,767",3%,"238,028,522","230,348,428"
90034,96%,"116,183,979",25%,"59,390,307",7%,"47,621,638",11%,"44,547,520","40,073,643"
90035,98%,"184,218,138",117%,"92,821,004",-1%,"42,790,884",14%,"43,397,510","38,040,299"
90036,98%,"268,218,215",58%,"135,766,890",35%,"85,745,626",25%,"63,471,994","50,745,137"
90037,41%,"975,617,631",19%,"693,035,545",8%,"584,652,695",4%,"539,903,171","520,293,533"
90038,68%,"107,716,624",54%,"63,948,869",5%,"41,607,099",-4%,"39,805,291","41,522,812"
90039,68%,"325,105,613",28%,"193,217,963",19%,"151,293,918",2%,"127,146,068","124,436,251"
90040,51%,"94,359,170",14%,"62,555,524",4%,"55,113,081",6%,"53,028,728","49,869,166"
90041,85%,"346,743,474",44%,"187,190,464",11%,"130,042,886",5%,"116,748,568","110,667,343"
90042,61%,"667,474,582",26%,"414,044,618",10%,"328,706,778",9%,"297,607,575","272,342,271"
90043,60%,"593,276,365",29%,"371,397,968",7%,"288,759,201",4%,"269,200,641","258,459,219"
90044,54%,"1,236,466,217",23%,"803,481,419",9%,"654,237,836",6%,"599,579,781","566,545,411"
90045,169%,"80,542,722",16%,"29,981,913",36%,"25,745,734",0%,"18,919,871","18,942,204"
90046,23%,"3,575,502,904",4%,"2,907,663,239",15%,"2,793,752,879",30%,"2,426,873,070","1,863,590,425"
90047,54%,"736,083,532",39%,"479,333,668",9%,"344,164,423",3%,"316,189,559","305,853,459"
90048,82%,"236,256,712",102%,"129,536,365",14%,"64,057,052",-14%,"56,381,293","65,594,901"
90049,37%,"4,840,039,314",59%,"3,528,404,095",17%,"2,214,738,358",38%,"1,888,228,709","1,368,130,870"
90056,117%,"75,520,664",54%,"34,854,920",45%,"22,601,906",-4%,"15,599,315","16,246,692"
90057,28%,"47,273,289",-17%,"36,874,013",9%,"44,257,406",23%,"40,607,432","33,020,814"
90058,42%,"21,553,829",16%,"15,208,551",4%,"13,109,821",3%,"12,663,636","12,258,844"
90059,54%,"450,995,631",16%,"292,927,887",1%,"251,859,145",5%,"248,264,383","235,601,530"
90061,45%,"285,103,179",15%,"196,640,082",5%,"170,930,184",9%,"163,146,599","149,736,353"
90062,47%,"605,772,537",14%,"411,016,652",10%,"362,118,802",0%,"328,712,352","327,227,304"
