County,ZIP Code,Year,New,Renewed,Non-Renewed
               ,90000,2020, 1 , 3 , -   
               ,90000,2021, 1 , -   , 3 
               ,90000,2022, 4 , 49 , 27 
               ,90000,2023, -   , 25 , 18 
Los Angeles    ,90001,2020, 788 ," 5,539 ", 645 
Los Angeles    ,90001,2021, 907 ," 5,566 ", 708 
Los Angeles    ,90001,2022, 843 ," 5,614 ", 762 
Los Angeles    ,90001,2023, 774 ," 5,569 ", 727 
Los Angeles    ,90002,2020, 836 ," 5,518 ", 625 
Los Angeles    ,90002,2021, 960 ," 5,537 ", 825 
Los Angeles    ,90002,2022, 929 ," 5,627 ", 799 
Los Angeles    ,90002,2023, 845 ," 5,479 ", 835 
Los Angeles    ,90003,2020," 1,102 "," 6,846 ", 845 
Los Angeles    ,90003,2021," 1,255 "," 6,837 "," 1,094 "
Los Angeles    ,90003,2022," 1,287 "," 6,995 "," 1,100 "
Los Angeles    ,90003,2023, 927 ," 7,019 ", 934 
Los Angeles    ,90004,2020, 539 ," 3,916 ", 473 
Los Angeles    ,90004,2021, 608 ," 3,857 ", 591 
Los Angeles    ,90004,2022, 529 ," 3,873 ", 521 
Los Angeles    ,90004,2023, 402 ," 3,846 ", 444 
Los Angeles    ,90005,2020, 140 , 882 , 120 
Los Angeles    ,90005,2021, 130 , 830 , 176 
Los Angeles    ,90005,2022, 94 , 842 , 104 
Los Angeles    ,90005,2023, 68 , 826 , 77 
Los Angeles    ,90006,2020, 269 ," 1,744 ", 207 
Los Angeles    ,90006,2021, 395 ," 1,695 ", 354 
Los Angeles    ,90006,2022, 318 ," 1,754 ", 312 
Los Angeles    ,90006,2023, 209 ," 1,817 ", 199 
Los Angeles    ,90007,2020, 303 ," 1,818 ", 226 
Los Angeles    ,90007,2021, 352 ," 1,807 ", 319 
Los Angeles    ,90007,2022, 289 ," 1,841 ", 272 
Los Angeles    ,90007,2023, 228 ," 1,863 ", 212 
Los Angeles    ,90008,2020, 502 ," 4,444 ", 451 
Los Angeles    ,90008,2021, 550 ," 4,413 ", 495 
Los Angeles    ,90008,2022, 431 ," 4,479 ", 479 
Los Angeles    ,90008,2023, 445 ," 4,419 ", 428 
Los Angeles    ,90010,2020, 16 , 50 , 8 
Los Angeles    ,90010,2021, 5 , 46 , 19 
Los Angeles    ,90010,2022, 5 , 36 , 19 
Los Angeles    ,90010,2023, 3 , 36 , 5 
Los Angeles    ,90011,2020," 1,176 "," 7,621 ", 900 
Los Angeles    ,90011,2021," 1,540 "," 7,625 "," 1,228 "
Los Angeles    ,90011,2022," 1,351 "," 7,902 "," 1,191 "
Los Angeles    ,90011,2023," 1,129 "," 7,979 ", 982 
Los Angeles    ,90012,2020, 72 , 690 , 69 
Los Angeles    ,90012,2021, 100 , 682 , 91 
Los Angeles    ,90012,2022, 72 , 703 , 74 
Los Angeles    ,90012,2023, 67 , 679 , 77 
Los Angeles    ,90013,2020, 5 , 95 , 13 
Los Angeles    ,90013,2021, 18 , 94 , 27 
Los Angeles    ,90013,2022, 16 , 93 , 21 
Los Angeles    ,90013,2023, 8 , 103 , 9 
Los Angeles    ,90014,2020, 8 , 44 , 7 
Los Angeles    ,90014,2021, 8 , 39 , 12 
